Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"04 Aug 2026"
"All datapoints provided as of end of last active trading day."
2CRSI;FR0013341781;AL2SI;"Euronext Growth Paris";EUR;26.60;27.12;24.40;24.54;"03/08/2026 17:35";CET;378825;9534526.02;24.54;03/08/2026
74SOFTWARE;FR0011040500;74SW;"Euronext Paris";EUR;37.90;38.60;37.90;37.90;"03/08/2026 17:35";CET;4874;185779.10;37.90;03/08/2026
"AB SCIENCE";FR0010557264;AB;"Euronext Paris";EUR;0.544;0.628;0.544;0.612;"03/08/2026 17:35";CET;704850;426418.38;0.612;03/08/2026
"AB SCIENCE BSA";FR001400ZRT0;ABBS;"Euronext Paris";EUR;-;-;-;-;-;CET;-;-;-;-
"AB SCIENCE BSA 25";FR00140118Z8;ABSBS;"Euronext Growth Paris";EUR;-;-;-;-;-;CET;-;-;-;-
"AB SCIENCE BSAAU25";FR0014011S49;ABBSA;"Euronext Growth Paris";EUR;-;-;-;-;-;CET;-;-;-;-
"ABC ARBITRAGE";FR0004040608;ABCA;"Euronext Paris";EUR;5.16;5.18;5.10;5.18;"03/08/2026 17:35";CET;55056;284258.83;5.18;03/08/2026
ABEO;FR0013185857;ABEO;"Euronext Paris";EUR;9.00;9.10;9.00;9.00;"03/08/2026 17:35";CET;1429;12872.66;9.00;03/08/2026
"ABIONYX PHARMA";FR0012616852;ABNX;"Euronext Paris";EUR;1.88;1.898;1.87;1.87;"03/08/2026 17:35";CET;37981;71635.57;1.87;03/08/2026
ABIVAX;FR0012333284;ABVX;"Euronext Paris";EUR;109.10;109.10;103.70;107.30;"03/08/2026 17:35";CET;173785;18602111.65;107.30;03/08/2026
"ABL Diagnostics";FR001400AHX6;ABLD;"Euronext Paris";EUR;2.50;2.50;2.46;2.46;"03/08/2026 15:26";CET;1966;4843.90;2.46;03/08/2026
"ABO GROUP";BE0974278104;ABO;"Euronext Brussels, Paris";EUR;3.86;3.86;3.86;3.86;"03/08/2026 09:00";CET;150;579.00;3.86;03/08/2026
"ACANTHE DEV.";FR0000064602;ACAN;"Euronext Paris";EUR;0.22;0.22;0.22;0.22;"03/08/2026 09:00";CET;1000;220.00;0.22;03/08/2026
